hour,latitude,longitude,weight
16-20,40.7228851318,-73.9977264404,1855.0108734603002
16-20,40.735244751,-73.9936065674,1854.4113866511
16-20,40.7654571533,-73.960647583,1852.2701712808998
16-20,40.7530975342,-73.9894866943,1850.441644848
16-20,40.7558441162,-73.9839935303,1835.5575242164
16-20,40.7572174072,-73.963394165,1833.3984218548
16-20,40.7764434814,-73.9469146729,1830.18332372
16-20,40.6418609619,-73.7889862061,1824.7736570075
16-20,40.7270050049,-73.9936065674,1823.2938917088
16-20,40.739364624,-74.0087127686,1823.1908676237
16-20,40.7585906982,-73.9867401123,1821.1987066763
16-20,40.7421112061,-73.9839935303,1820.2104535618
16-20,40.7695770264,-73.9647674561,1814.715668794
16-20,40.7462310791,-73.9908599854,1812.3947989257
16-20,40.7022857666,-74.0114593506,1808.3881878155998
16-20,40.7682037354,-73.95652771,1806.7066770770002
16-20,40.7118988037,-74.0155792236,1802.7760961539998
16-20,40.7489776611,-73.9785003662,1799.6542033084002
16-20,40.737991333,-73.9894866943,1795.5915087303001
16-20,40.7682037354,-73.963394165,1794.0206434218999
16-20,40.740737915,-73.9977264404,1793.4540084547
16-20,40.7421112061,-73.9826202393,1792.9207468218
16-20,40.7695770264,-73.9812469482,1792.7728392058
16-20,40.7791900635,-73.9510345459,1790.7927364876
16-20,40.7462310791,-74.0018463135,1787.3306855121
16-20,40.740737915,-73.9881134033,1786.4529928813
16-20,40.7819366455,-73.957901001,1781.2810831547001
16-20,40.7462310791,-73.9716339111,1780.0664755392
16-20,40.7723236084,-73.9469146729,1778.4066687806003
16-20,40.7434844971,-73.9730072021,1769.2842451702
16-20,40.7558441162,-73.9785003662,1756.1680878398001
16-20,40.7764434814,-73.957901001,1750.945549941
16-20,40.7256317139,-73.9922332764,1748.8357976746
16-20,40.73387146,-73.9812469482,1739.5363449627
16-20,40.7558441162,-73.9771270752,1734.0598862267998
16-20,40.7585906982,-73.9743804932,1728.0846333839002
16-20,40.739364624,-74.0018463135,1727.3739226254
16-20,40.7860565186,-73.9510345459,1726.8362849394
16-20,40.7750701904,-73.960647583,1715.3615207906
16-20,40.7448577881,-73.9881134033,1713.5991503230998
16-20,40.7778167725,-73.9455413818,1713.4487860778
16-20,40.7489776611,-73.9839935303,1713.0142344257001
16-20,40.7462310791,-73.9949798584,1712.8122439124
16-20,40.7736968994,-73.8851165771,1712.6021438575
16-20,40.7613372803,-73.9730072021,1712.3527600695002
16-20,40.7640838623,-73.9675140381,1711.6859230404998
16-20,40.7517242432,-73.9716339111,1705.1837029906
16-20,40.7764434814,-73.9798736572,1697.7844941609999
16-20,40.7668304443,-73.9688873291,1695.8931713221
16-20,40.7585906982,-73.9785003662,1691.8227463078001
16-20,40.7640838623,-73.959274292,1691.3129529417
16-20,40.7324981689,-73.9963531494,1691.1838711215
16-20,40.7297515869,-74.0018463135,1682.2861791859002
16-20,40.7517242432,-73.9798736572,1678.4567486407002
16-20,40.7421112061,-73.9922332764,1675.3650630543998
16-20,40.7668304443,-73.9812469482,1671.7507708161997
16-20,40.7599639893,-73.9867401123,1670.6841014609
16-20,40.7736968994,-73.9455413818,1670.4489606276002
16-20,40.737991333,-74.0004730225,1669.5551228257
16-20,40.7640838623,-73.9798736572,1664.0905146036
16-20,40.7572174072,-73.9771270752,1663.6782361299001
16-20,40.7970428467,-73.9702606201,1657.4640225787998
16-20,40.73387146,-74.0032196045,1655.2220171202998
16-20,40.7448577881,-74.0059661865,1653.2002429077002
16-20,40.7668304443,-73.9798736572,1649.8447249976002
16-20,40.7640838623,-73.962020874,1649.7659247573
16-20,40.7324981689,-73.9908599854,1647.6856843636997
16-20,40.739364624,-73.9990997314,1642.1659336401
16-20,40.7476043701,-73.9771270752,1641.9219030734
16-20,40.735244751,-74.0059661865,1639.7495198793001
16-20,40.736618042,-73.9963531494,1639.6667632534002
16-20,40.7544708252,-73.9839935303,1637.3226154514
16-20,40.737991333,-74.0045928955,1634.5241592682
16-20,40.7434844971,-73.9867401123,1632.7714783276997
16-20,40.7476043701,-73.9881134033,1632.712404386
16-20,40.7503509521,-73.9826202393,1628.5970208966
16-20,40.7640838623,-73.957901001,1622.862296342
16-20,40.7530975342,-73.9922332764,1621.8499922874998
16-20,40.7736968994,-73.960647583,1618.3686953716
16-20,40.7682037354,-73.9551544189,1617.8596887628003
16-20,40.7517242432,-73.9730072021,1617.7741069321
16-20,40.7833099365,-73.959274292,1611.3283288145
16-20,40.7791900635,-73.9826202393,1611.2045258051
16-20,40.7682037354,-73.9661407471,1603.0718518579
16-20,40.7517242432,-73.9894866943,1598.3953112213
16-20,40.7476043701,-73.9730072021,1597.2642576402
16-20,40.7421112061,-73.9963531494,1596.1909970244
16-20,40.7270050049,-73.9853668213,1594.5762215565
16-20,40.7311248779,-74.0004730225,1592.7615239035
16-20,40.7723236084,-73.9647674561,1591.5510289623003
16-20,40.736618042,-74.0059661865,1586.8207129032003
16-20,40.7105255127,-74.0155792236,1585.0559046956998
16-20,40.7654571533,-73.9688873291,1584.999413687
16-20,40.7791900635,-73.957901001,1583.8087680382
16-20,40.7668304443,-73.9675140381,1582.6245180514
16-20,40.7778167725,-73.959274292,1581.7808991541
16-20,40.7764434814,-73.9551544189,1581.4415976586
16-20,40.7242584229,-73.9922332764,1577.3811279239999
16-20,40.7160186768,-74.0155792236,1574.3915006982
16-20,40.7640838623,-73.9963531494,1573.6474651626
16-20,40.7324981689,-74.0032196045,1571.9493788707
16-20,40.8025360107,-73.9675140381,1569.7558832077002
16-20,40.7118988037,-74.0087127686,1567.1965957325
16-20,40.7860565186,-73.9688873291,1566.9366806921998
16-20,40.7146453857,-74.0142059326,1566.7448860548
16-20,40.7682037354,-73.959274292,1565.9510060071
16-20,40.7462310791,-73.9977264404,1558.2301960627997
16-20,40.7984161377,-73.9688873291,1553.4058321962002
16-20,40.7640838623,-73.9853668213,1550.9760862499
16-20,40.7819366455,-73.95652771,1550.1698696125
16-20,40.739364624,-73.9894866943,1547.3186548603999
16-20,40.7228851318,-73.9881134033,1545.7344213543001
16-20,40.7695770264,-73.9839935303,1542.6270083814998
16-20,40.7613372803,-73.9675140381,1536.1752122067
16-20,40.7530975342,-73.9936065674,1530.1553641613
16-20,40.7723236084,-73.9675140381,1526.0647289258
16-20,40.7695770264,-73.9524078369,1519.1332666178998
16-20,40.7503509521,-73.9688873291,1511.7022579315
16-20,40.7791900635,-73.9771270752,1510.3945098511
16-20,40.735244751,-73.9922332764,1507.1344868181
16-20,40.7846832275,-73.9730072021,1505.6973739958
16-20,40.7421112061,-73.9785003662,1505.4719731978998
16-20,40.735244751,-73.9990997314,1501.8418976704
16-20,40.7888031006,-73.9702606201,1501.238877925
16-20,40.7805633545,-73.9524078369,1497.8410841811
16-20,40.7421112061,-73.9977264404,1494.9030924653998
16-20,40.7654571533,-73.9716339111,1492.7090098936999
16-20,40.7297515869,-73.9922332764,1490.0696909266999
16-20,40.7764434814,-73.9524078369,1487.1259364818998
16-20,40.7476043701,-73.9922332764,1486.0242909320998
16-20,40.7036590576,-74.0114593506,1485.9377022975
16-20,40.7462310791,-73.9853668213,1483.6476639161
16-20,40.7572174072,-73.9936065674,1481.5105390331
16-20,40.7421112061,-73.9908599854,1479.6605717359002
16-20,40.7613372803,-73.963394165,1479.2077409496
16-20,40.7668304443,-73.962020874,1478.1023349089999
16-20,40.7709503174,-73.963394165,1476.4789708265998
16-20,40.7750701904,-73.9812469482,1476.0997220942
16-20,40.7434844971,-73.9894866943,1473.7172129759
16-20,40.7283782959,-74.0032196045,1473.5462216125998
16-20,40.7723236084,-73.963394165,1469.8244028848999
16-20,40.7901763916,-73.9661407471,1468.1390518038002
16-20,40.7297515869,-73.9867401123,1466.4759893296
16-20,40.7888031006,-73.9771270752,1464.7904780437002
16-20,40.7132720947,-74.0087127686,1458.0224194779998
16-20,40.7558441162,-73.9798736572,1457.0774506359999
16-20,40.7599639893,-73.9688873291,1455.5928356110999
16-20,40.7860565186,-73.9730072021,1451.8824597444
16-20,40.7270050049,-74.0032196045,1450.9772984367
16-20,40.7476043701,-73.9785003662,1447.6392793571
16-20,40.739364624,-73.9798736572,1447.2006737525
16-20,40.7517242432,-73.9853668213,1446.9934064124
16-20,40.7585906982,-73.9826202393,1444.2957523228001
16-20,40.7421112061,-73.9867401123,1440.9824390510998
16-20,40.7421112061,-74.0073394775,1439.3812599012
16-20,40.7764434814,-73.9496612549,1436.8980288197
16-20,40.7324981689,-74.0059661865,1436.3008125716
16-20,40.7640838623,-73.9881134033,1435.8746165333
16-20,40.7599639893,-73.962020874,1435.6656904372999
16-20,40.7228851318,-73.9990997314,1434.2253638604
16-20,40.7283782959,-73.9908599854,1429.8404361579
16-20,40.7530975342,-73.9798736572,1424.2947595496
16-20,40.7599639893,-73.9675140381,1422.8129408858
16-20,40.7819366455,-73.9482879639,1422.1701805635998
16-20,40.7668304443,-73.9839935303,1418.8803837626
16-20,40.7668304443,-73.9647674561,1417.3527981284
16-20,40.7283782959,-73.9936065674,1416.9674264454
16-20,40.7572174072,-73.9908599854,1416.2077728425002
16-20,40.7860565186,-73.9798736572,1414.5702673459998
16-20,40.736618042,-73.9853668213,1410.0205609637999
16-20,40.7311248779,-73.9922332764,1409.7932680604
16-20,40.7627105713,-73.9936065674,1408.4147552129002
16-20,40.7723236084,-73.95652771,1403.8386133664999
16-20,40.7283782959,-73.9853668213,1392.7395302292002
16-20,40.7228851318,-73.9867401123,1392.7387182558
16-20,40.7599639893,-73.9826202393,1390.2775573887998
16-20,40.7860565186,-73.9757537842,1389.3144778799
16-20,40.7901763916,-73.9757537842,1388.3556877114002
16-20,40.7736968994,-73.9482879639,1388.0146223537
16-20,40.7462310791,-73.9867401123,1386.8206342279
16-20,40.8011627197,-73.9675140381,1384.8623175798998
16-20,40.7956695557,-73.9716339111,1382.5313685683
16-20,40.7888031006,-73.9551544189,1377.5356994412
